IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
IND02M48;Број активних предузетника по NACE Rev.2  (сектор U);12;2020;71153;Топола;0;1/12/2021 2:07:52 PM;1/12/2021 2:07:52 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M49;Број основаних предузетника;12;2020;71153;Топола;6;1/12/2021 2:07:52 PM;1/12/2021 2:07:52 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M50;Број брисаних предузетника;12;2020;71153;Топола;5;1/12/2021 2:07:52 PM;1/12/2021 2:07:52 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M51;Број активних предузетника у ликвидацији;12;2020;71153;Топола;0;1/12/2021 2:07:52 PM;1/12/2021 2:07:52 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M52;Број активних предузетника у стечају;12;2020;71153;Топола;0;1/12/2021 2:07:52 PM;1/12/2021 2:07:52 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M53;Број извозника ;11;2020;71153;Топола;16;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND02M54;Вредност извоза у РСД;11;2020;71153;Топола;134933790.31;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND02M55;Вредност извоза у УСД;11;2020;71153;Топола;1147683.11182418;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND02M56;Вредност извоза у ЕУР;11;2020;71153;Топола;1355912.76564566;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND03M03;Број регистрованих незапослених ;12;2020;71153;Топола;1376;1/14/2021 3:42:52 PM;1/14/2021 3:42:52 PM;A;Национална служба за запошљавање (НСЗ)
IND03M08;Просечна нето зарада за месец, према општини пребивалишта запослених;11;2020;71153;Топола;47965;1/19/2021 12:27:15 PM;1/25/2021 12:00:17 PM;A;Републички завод за статистику (РЗС)
IND03M09;Просечна нето зарада за период јануар-текући месец, према општини пребивалишта запослених;11;2020;71153;Топола;46615;1/19/2021 12:27:14 PM;1/25/2021 12:00:18 PM;A;Републички завод за статистику (РЗС)
IND00M01;Градоначелник/председник општине;01;2021;71161;Трговиште;МИЉАНА ЗЛАТКОВИЋ;1/4/2021 7:39:27 AM;1/4/2021 7:39:27 AM;A;Републички завод за статистику (РЗС)
IND01G01;Површина (у км²);00;2020;71161;Трговиште;370;1/27/2021 10:15:40 AM;1/27/2021 10:22:18 AM;A;Републички геодетски завод (РГЗ)
IND01G02;Број становника - процена (последњи расположив податак за годину);00;2019;71161;Трговиште;4519;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
IND01G03;Густина насељености (број становника / км2);00;2019;71161;Трговиште;12;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
IND01G04;Број насеља;00;2020;71161;Трговиште;35;1/27/2021 10:15:40 AM;1/27/2021 10:22:18 AM;A;Републички завод за статистику (РЗС)
IND01G05;Број живорођених;00;2019;71161;Трговиште;46;7/13/2020 2:47:40 PM;7/13/2020 2:47:40 PM;A;Републички завод за статистику (РЗС)
IND01G07;Степен развијености ЈЛС према Закону о регионалном развоју;00;2014;71161;Трговиште;IV група - девастирано подручје;2/10/2017 8:48:45 AM;2/10/2017 8:48:45 AM;A;Министарство привреде
IND01G08;Степен развијености е-управе;00;2015;71161;Трговиште;0.192235466700023;6/15/2017 1:26:49 PM;6/15/2017 1:26:49 PM;A;Канцеларија за информационе технологије и електронску управу (ИТЕ)
IND01G10;Укупна дужина водоводне мреже;00;2017;71161;Трговиште;24;4/4/2019 11:17:56 AM;4/4/2019 11:17:56 AM;A;Републички завод за статистику (РЗС)
IND01G1001;Број становника према Попису 2011;00;2011;71161;Трговиште;5091;2/10/2017 9:32:24 AM;2/10/2017 9:32:24 AM;A;Републички завод за статистику (РЗС)
IND01G1002;Број домаћинстава према Попису 2011;00;2011;71161;Трговиште;1767;2/10/2017 9:20:42 AM;4/12/2017 1:01:02 PM;A;Републички завод за статистику (РЗС)
IND01G11;Укупна дужина канализационе мреже;00;2017;71161;Трговиште;26;4/4/2019 12:04:39 PM;4/4/2019 2:34:50 PM;A;Републички завод за статистику (РЗС)
IND02G01;Број великих предузећа ;00;2017;71161;Трговиште;0;8/21/2018 5:04:07 PM;8/21/2018 5:04:07 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G02;Број средњих предузећа ;00;2017;71161;Трговиште;0;8/21/2018 5:04:07 PM;8/21/2018 5:04:07 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G03;Број малих предузећа ;00;2017;71161;Трговиште;2;8/21/2018 5:04:07 PM;8/21/2018 5:04:07 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G04;Број микро предузећа;00;2017;71161;Трговиште;66;8/21/2018 5:04:07 PM;8/21/2018 5:04:07 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G05;Број без ознаке за величину;00;2017;71161;Трговиште;12;8/21/2018 5:04:07 PM;8/21/2018 5:04:07 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M01;Број активних привредних друштава;12;2020;71161;Трговиште;63;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M02;Број активних привредних друштава по NACE Rev.2  (сектор A);12;2020;71161;Трговиште;6;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M03;Број активних привредних друштава по NACE Rev.2  (сектор B);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M04;Број активних привредних друштава по NACE Rev.2  (сектор C);12;2020;71161;Трговиште;18;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M05;Број активних привредних друштава по NACE Rev.2  (сектор D);12;2020;71161;Трговиште;4;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M06;Број активних привредних друштава по NACE Rev.2  (сектор E);12;2020;71161;Трговиште;2;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M07;Број активних привредних друштава по NACE Rev.2  (сектор F);12;2020;71161;Трговиште;4;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M08;Број активних привредних друштава по NACE Rev.2  (сектор G);12;2020;71161;Трговиште;7;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M09;Број активних привредних друштава по NACE Rev.2  (сектор H);12;2020;71161;Трговиште;7;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M10;Број активних привредних друштава по NACE Rev.2  (сектор I);12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M11;Број активних привредних друштава по NACE Rev.2  (сектор J);12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M12;Број активних привредних друштава по NACE Rev.2  (сектор K);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M13;Број активних привредних друштава по NACE Rev.2  (сектор L);12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M14;Број активних привредних друштава по NACE Rev.2  (сектор M);12;2020;71161;Трговиште;10;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M15;Број активних привредних друштава по NACE Rev.2  (сектор N);12;2020;71161;Трговиште;2;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M16;Број активних привредних друштава по NACE Rev.2  (сектор O);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M17;Број активних привредних друштава по NACE Rev.2  (сектор P);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M18;Број активних привредних друштава по NACE Rev.2  (сектор Q);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M19;Број активних привредних друштава по NACE Rev.2  (сектор R);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M20;Број активних привредних друштава по NACE Rev.2  (сектор S);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M21;Број активних привредних друштава по NACE Rev.2  (сектор T);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M22;Број активних привредних друштава по NACE Rev.2  (сектор U);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M23;Број основаних привредних друштава ;12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M24;Број брисаних привредних друштава ;12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M25;Број активних привредних друштава у ликвидацији;12;2020;71161;Трговиште;3;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M26;Број активних привредних друштава у стечају;12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M27;Број активних предузетника;12;2020;71161;Трговиште;181;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M28;Број активних предузетника по NACE Rev.2  (сектор A);12;2020;71161;Трговиште;30;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M29;Број активних предузетника по NACE Rev.2  (сектор B);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M30;Број активних предузетника по NACE Rev.2  (сектор C);12;2020;71161;Трговиште;37;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M31;Број активних предузетника по NACE Rev.2  (сектор D);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M32;Број активних предузетника по NACE Rev.2  (сектор E);12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M33;Број активних предузетника по NACE Rev.2  (сектор F);12;2020;71161;Трговиште;30;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M34;Број активних предузетника по NACE Rev.2  (сектор G);12;2020;71161;Трговиште;31;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M35;Број активних предузетника по NACE Rev.2  (сектор H);12;2020;71161;Трговиште;18;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M36;Број активних предузетника по NACE Rev.2  (сектор I);12;2020;71161;Трговиште;12;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M37;Број активних предузетника по NACE Rev.2  (сектор J);12;2020;71161;Трговиште;6;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M38;Број активних предузетника по NACE Rev.2  (сектор K);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M39;Број активних предузетника по NACE Rev.2  (сектор L);12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M40;Број активних предузетника по NACE Rev.2  (сектор M);12;2020;71161;Трговиште;3;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M41;Број активних предузетника по NACE Rev.2  (сектор N);12;2020;71161;Трговиште;4;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M42;Број активних предузетника по NACE Rev.2  (сектор O);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M43;Број активних предузетника по NACE Rev.2  (сектор P);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M44;Број активних предузетника по NACE Rev.2  (сектор Q);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M45;Број активних предузетника по NACE Rev.2  (сектор R);12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M46;Број активних предузетника по NACE Rev.2  (сектор S);12;2020;71161;Трговиште;7;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M47;Број активних предузетника по NACE Rev.2  (сектор T);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M48;Број активних предузетника по NACE Rev.2  (сектор U);12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M49;Број основаних предузетника;12;2020;71161;Трговиште;1;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M50;Број брисаних предузетника;12;2020;71161;Трговиште;7;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M51;Број активних предузетника у ликвидацији;12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M52;Број активних предузетника у стечају;12;2020;71161;Трговиште;0;1/12/2021 2:07:56 PM;1/12/2021 2:07:56 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M53;Број извозника ;11;2020;71161;Трговиште;4;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND02M54;Вредност извоза у РСД;11;2020;71161;Трговиште;1973365.49;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND02M55;Вредност извоза у УСД;11;2020;71161;Трговиште;16784.2685283419;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND02M56;Вредност извоза у ЕУР;11;2020;71161;Трговиште;19857.5418788212;12/30/2020 1:45:56 PM;12/30/2020 1:45:56 PM;P;Управа царине и Електро мрежа Србије (УЦ и ЕМС)
IND03M03;Број регистрованих незапослених ;12;2020;71161;Трговиште;851;1/14/2021 3:42:52 PM;1/14/2021 3:42:52 PM;A;Национална служба за запошљавање (НСЗ)
IND03M08;Просечна нето зарада за месец, према општини пребивалишта запослених;11;2020;71161;Трговиште;46530;1/19/2021 12:27:15 PM;1/25/2021 12:00:17 PM;A;Републички завод за статистику (РЗС)
IND03M09;Просечна нето зарада за период јануар-текући месец, према општини пребивалишта запослених;11;2020;71161;Трговиште;46379;1/19/2021 12:27:14 PM;1/25/2021 12:00:18 PM;A;Републички завод за статистику (РЗС)
IND00M01;Градоначелник/председник општине;01;2021;71170;Трстеник;МИЛЕНА ТУРК;1/4/2021 7:39:27 AM;1/4/2021 7:39:27 AM;A;Републички завод за статистику (РЗС)
IND01G01;Површина (у км²);00;2020;71170;Трстеник;448;1/27/2021 10:15:39 AM;1/27/2021 10:22:18 AM;A;Републички геодетски завод (РГЗ)
IND01G02;Број становника - процена (последњи расположив податак за годину);00;2019;71170;Трстеник;38401;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
IND01G03;Густина насељености (број становника / км2);00;2019;71170;Трстеник;86;7/1/2020 1:01:17 PM;7/1/2020 1:01:17 PM;A;Републички завод за статистику (РЗС)
IND01G04;Број насеља;00;2020;71170;Трстеник;51;1/27/2021 10:15:39 AM;1/27/2021 10:22:18 AM;A;Републички завод за статистику (РЗС)
IND01G05;Број живорођених;00;2019;71170;Трстеник;268;7/13/2020 2:47:40 PM;7/13/2020 2:47:40 PM;A;Републички завод за статистику (РЗС)
IND01G07;Степен развијености ЈЛС према Закону о регионалном развоју;00;2014;71170;Трстеник;III група;2/10/2017 8:48:45 AM;2/10/2017 8:48:45 AM;A;Министарство привреде
IND01G08;Степен развијености е-управе;00;2015;71170;Трстеник;0.373455129153211;6/15/2017 1:26:49 PM;6/15/2017 1:26:49 PM;A;Канцеларија за информационе технологије и електронску управу (ИТЕ)
IND01G10;Укупна дужина водоводне мреже;00;2017;71170;Трстеник;230;4/4/2019 11:17:56 AM;4/4/2019 11:17:56 AM;A;Републички завод за статистику (РЗС)
IND01G1001;Број становника према Попису 2011;00;2011;71170;Трстеник;42966;2/10/2017 9:32:24 AM;2/10/2017 9:32:24 AM;A;Републички завод за статистику (РЗС)
IND01G1002;Број домаћинстава према Попису 2011;00;2011;71170;Трстеник;14342;2/10/2017 9:20:42 AM;4/12/2017 1:01:02 PM;A;Републички завод за статистику (РЗС)
IND01G11;Укупна дужина канализационе мреже;00;2017;71170;Трстеник;50;4/4/2019 12:04:39 PM;4/4/2019 2:34:50 PM;A;Републички завод за статистику (РЗС)
IND02G01;Број великих предузећа ;00;2017;71170;Трстеник;0;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G02;Број средњих предузећа ;00;2017;71170;Трстеник;1;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G03;Број малих предузећа ;00;2017;71170;Трстеник;32;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G04;Број микро предузећа;00;2017;71170;Трстеник;311;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02G05;Број без ознаке за величину;00;2017;71170;Трстеник;26;8/21/2018 5:04:06 PM;8/21/2018 5:04:06 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M01;Број активних привредних друштава;12;2020;71170;Трстеник;343;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M02;Број активних привредних друштава по NACE Rev.2  (сектор A);12;2020;71170;Трстеник;41;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M03;Број активних привредних друштава по NACE Rev.2  (сектор B);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M04;Број активних привредних друштава по NACE Rev.2  (сектор C);12;2020;71170;Трстеник;113;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M05;Број активних привредних друштава по NACE Rev.2  (сектор D);12;2020;71170;Трстеник;3;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M06;Број активних привредних друштава по NACE Rev.2  (сектор E);12;2020;71170;Трстеник;7;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M07;Број активних привредних друштава по NACE Rev.2  (сектор F);12;2020;71170;Трстеник;8;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M08;Број активних привредних друштава по NACE Rev.2  (сектор G);12;2020;71170;Трстеник;86;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M09;Број активних привредних друштава по NACE Rev.2  (сектор H);12;2020;71170;Трстеник;33;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M10;Број активних привредних друштава по NACE Rev.2  (сектор I);12;2020;71170;Трстеник;3;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M11;Број активних привредних друштава по NACE Rev.2  (сектор J);12;2020;71170;Трстеник;7;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M12;Број активних привредних друштава по NACE Rev.2  (сектор K);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M13;Број активних привредних друштава по NACE Rev.2  (сектор L);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M14;Број активних привредних друштава по NACE Rev.2  (сектор M);12;2020;71170;Трстеник;22;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M15;Број активних привредних друштава по NACE Rev.2  (сектор N);12;2020;71170;Трстеник;4;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M16;Број активних привредних друштава по NACE Rev.2  (сектор O);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M17;Број активних привредних друштава по NACE Rev.2  (сектор P);12;2020;71170;Трстеник;5;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M18;Број активних привредних друштава по NACE Rev.2  (сектор Q);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M19;Број активних привредних друштава по NACE Rev.2  (сектор R);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M20;Број активних привредних друштава по NACE Rev.2  (сектор S);12;2020;71170;Трстеник;11;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M21;Број активних привредних друштава по NACE Rev.2  (сектор T);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M22;Број активних привредних друштава по NACE Rev.2  (сектор U);12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M23;Број основаних привредних друштава ;12;2020;71170;Трстеник;1;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M24;Број брисаних привредних друштава ;12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M25;Број активних привредних друштава у ликвидацији;12;2020;71170;Трстеник;20;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M26;Број активних привредних друштава у стечају;12;2020;71170;Трстеник;0;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M27;Број активних предузетника;12;2020;71170;Трстеник;1369;1/12/2021 2:07:51 PM;1/12/2021 2:07:51 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
